ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
382934,7 Days Croissant s kakaovou náplňou 60 g,7 days croissant s kakaovou naplnou 60 g,0.93,0,gram,60.0,84,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382935,7 Days Croissant s náplňou spumante 60 g,7 days croissant s naplnou spumante 60 g,0.93,0,gram,60.0,32,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382936,7 Days Max Croissant s kakaovou náplňou 80 g,7 days max croissant s kakaovou naplnou 80 g,1.17,0,gram,80.0,25,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382937,7 Days Double Max Croissant s kakaovou náplňou a s náplňou s vanilkovou príchuťou 80 g,7 days double max croissant s kakaovou naplnou a s naplnou s vanilkovou prichutou 80 g,1.17,0,gram,80.0,12,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382938,7 Days Double Max Croissant s náplňou s vanilkovou príchuťou a s višňovou náplňou 80 g,7 days double max croissant s naplnou s vanilkovou prichutou a s visnovou naplnou 80 g,1.17,0,gram,80.0,15,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382939,7 Days Cake Bar s kakaovou náplňou s čokoládovou polevou celomáčaný 32 g,7 days cake bar s kakaovou naplnou s cokoladovou polevou celomacany 32 g,0.56,0,gram,32.0,75,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382940,7 Days Cake Bar s náplňou s vanilkovou príchuťou a čokoládovou polevou celomáčaný 32 g,7 days cake bar s naplnou s vanilkovou prichutou a cokoladovou polevou celomacany 32 g,0.56,0,gram,32.0,144,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382941,7 Days Cake bar s kakaovou náplňou 5 x 30 g,7 days cake bar s kakaovou naplnou 5 x 30 g,2.61,0,gram,30.0,18,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382942,7 Days Croissant s lieskovoorieškovou náplňou s kúskami sušienok 60 g,7 days croissant s lieskovoorieskovou naplnou s kuskami susienok 60 g,0.93,0,gram,60.0,11,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382943,7 Days Croissant s krémom s vanilkovou príchuťou s mliekom a s kúskami kakaových sušienok 60 g,7 days croissant s kremom s vanilkovou prichutou s mliekom a s kuskami kakaovych susienok 60 g,0.93,0,gram,60.0,33,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382944,Chipicao Croissant s kakaovou náplňou 60 g,chipicao croissant s kakaovou naplnou 60 g,1.21,0,gram,60.0,29,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
382945,Pekáreň Anton Antol Dukátové buchtičky 300 g,pekaren anton antol dukatove buchticky 300 g,2.72,0,gram,300.0,8,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382946,Vamex Gápelský koláč so slivkovou náplňou 100 g,vamex gapelsky kolac so slivkovou naplnou 100 g,1.17,0,gram,100.0,5,PECIVO,19,2,2024-04-21 20:00:03,2024-04-21 20:02:07
382947,7 Days Cake bar s kakaovou náplňou s čokoládovou polevou 5 x 32 g,7 days cake bar s kakaovou naplnou s cokoladovou polevou 5 x 32 g,2.61,0,gram,32.0,10,PECIVO,19,2,2024-04-21 20:00:03,2024-04-27 19:06:34
