84,BILLA Jadrá sladkých mandlí blanšírované 200g,4.99 €,0,1
85,Orechovo hrozienková zmes 200g,2.39 €,0,1
86,Ovocno Orechová zmes 200g,2.29 €,0,1
87,Tekvicové jadrá pražené solené nel.150g,1.49 €,0,1
88,BILLA Hrozienka 500g,2.69 €,0,1
89,Sézam 150g,1.09 €,0,1
90,Slivky sušené vykôstkované 300g,3.09 €,0,1
91,BILLA sušené slivky odkôskované 500g,5.99 €,0,1
92,Datle vykôstkované sušené 200g,2.89 €,0,1
93,Brusnice mix 150g,1.79 €,0,1
94,Naše Gaštany pečené lúpané 100 g,1.99 €,0,1
95,Kokos chips natural 200g,1.39 €,0,1
96,Džús KLEMENTÍNKA 250 ml,1.79 €,0,1
97,Smoothie MANGO.MARAKUJA 250 ml,2.39 €,0,1
98,Smoothie LESNÉ PLODY 250 ml,2.39 €,0,1
99,Smoothie ANANÁS.KOKOS.BANÁN 250 ml,2.39 €,0,1
100,Smoothie ANANÁS.BANÁN.JAHODA 250 ml,2.39 €,0,1
101,Limeñita Smoothie ovocná šťava z viacerých druhov ovocia 250 ml,1.19 €,0,1
102,Rauch Juice Bar 100% jablkovo-hroznovo-malinová šťava 800 ml,2.69 €,0,1
103,Rio Cold Press 100% Costa Rica pomaranč s dužinou 1 l,3.29 €,0,1
104,Rio Cold Press 100% jablko 1 l,2.39 €,0,1
105,Rio Cold Press 100% malina hrozno jablko 1 l,3.29 €,0,1
106,Rio Cold Press Lemonade Lemon 400 ml,1.29 €,0,1
107,Rio Cold Press Greponade Grapefruit 400 ml,1.29 €,0,1
108,Limeňita Pomarančová Šťava 1L,2.99 €,0,1
109,Limeňita BIO Pomarančová šťava 100% 1L,4.59 €,0,1
-1,BILLA BIO banány (cca 1kg),~1.99 €,1,1
0,Čučoriedky 125g,1.89 €2.69,0,1
1,Maliny 125g,2.49 €2.99,0,1
2,Jablká balené 1kg,1.69 €,0,1
3,Clever Jablká červené gala 2kg,1.99 €,0,1
4,Clever Jablká zelené golden delicious 2kg,1.99 €,0,1
5,Jablká golden delicious ukladané voľné kus,~0.34 €,1,1
6,Clever hrušky 1kg,1.99 €,0,1
7,Clever citróny 500g,1.39 €,0,1
8,Limeta kus,0.33 €0.49,0,1
9,Jablká červené voľné kus,~0.15 €,1,1
10,Jablká Pink Lady Tácka 4Ks Balené,2.49 €,0,1
