788,Racio Tenké chlebíčky ryžové s mliečnokakaovou polevou 100 g,1.29,0,1
789,Malokarpatský chlebíček ryža - kakao 60 g,0.69,0,1
790,Malokarpatský chlebíček ryža - jogurt 60 g,0.69,0,1
791,Racio Cornies kukuričné chlebíčky s ľanovým semienkom 115 g,0.99,0,1
792,Racio Cornies kukuričné chlebíčky s medvedím cesnakom 115 g,0.99,0,1
793,Racio Cornies polomáčané kukuričné chlebíčky s horkou čokoládou 75 g,0.99,0,1
794,Racio Cornies kukuričné chlebíčky s morskou soľou 115 g,0.99,0,1
795,Racio Bio špaldové chlebíčky 140 g,1.39,0,1
796,Racio Free Style Ryžové chlebíčky s príchuťou paradajky a bazalky 25 g,0.59,0,1
797,Racio Free Style Ryžové chlebíčky s príchuťou syra 25 g,0.59,0,1
798,Racio Chlebíčky ryžové 130 g,0.99,0,1
799,Racio Chlebíčky pšeničné 130 g,0.99,0,1
800,Racio Raciolky Minichlebíčky ryžové s mliečnokakaovou polevou 60 g,0.99,0,1
801,Racio Raciolky Jogurtové 60 g,1.05,0,1
802,Racio Polomáčané kukuričné chlebíčky mliečnokakaová poleva 100 g,1.09,0,1
803,Racio Chlebíčky ryžové so sójou 130 g,1.05,0,1
804,Racio Bio ryžové chlebíčky 140 g,1.39,0,1
805,Druid Celpo Celozrnné extra jemné chlebíčky 100 % špalda 80 g,0.99,0,1
806,Celpo 100% celozrnné extra jemné chlebíčky šošovica s morskou soľou 90 g,1.09,0,1
807,MINI TOPINKY SLANINA 150G BONAVITA,1.79,0,1
808,MINI TOPINKY HORČICA 150G,1.79,0,1
809,CELOZRNNÉ SUCHÁRIKY 140G BONAVITA,1.79,0,1
810,Bona Vita Active Kváskový knäckebrot s tekvicovými semienkami a syrom 180 g,3.39,0,1
811,Racio Knäckebrot ražný s vysokým obsahom vlákniny 250 g,1.89,0,1
812,Racio Knäckebrot celozrnný ražný 250 g,1.99,0,1
813,Bona Vita Active Mini knäckebrot tekvica a syr 100g,2.39,0,1
814,Bona Vita Active Kváskový miniknäckebrot s paradajkami a syrom 100 g,2.39,0,1
815,Maces bezkvasové pečivo 500g,4.49,0,1
816,Mini maces 40g,1.05,0,1
817,Bona Vita Active Krehké rožteky s celozrnnou múkou 250 g,2.05,0,1
818,Bonavita krehké plátky grahamové 70g,0.69,0,1
819,Bona Vita Active Trvanlivý chlieb viaczrnný 500 g,2.39,0,1
820,Bona Vita Active Bio Knäckebrot kváskový s celozrnnou špaldovou múkou a semienkami slnečnice 110 g,2.39,0,1
821,Bona Vita Active Krehké rožteky so špaldovou múkou 250 g,2.29,0,1
822,Vepy Špaldové placky 100 g,1.79,0,1
823,Vepy Kukuričné placky 100 g,1.69,0,1
824,BILLA Sucháre 250g,3.15,0,1
825,Bona Vita Active Pšenično-ražný krehký suchár 180 g,1.69,0,1
826,Bona Vita Active Krehký suchár s celozrnnou múkou 180 g,1.69,0,1
827,Marlenka Medová torta s vlašskými orechmi 800 g,13.49,0,1
828,Marlenka Medová torta s kakaom 800 g,13.49,0,1
829,Marlenka Medové guličky 235 g,6.39,0,1
830,Marlenka Medové guličky s kakaom 235 g,6.39,0,1
831,Marlenka Napoleonky 6 ks 300 g,7.99,0,1
832,Bábovka mramorová 400g,1.99,0,1
833,BILLA Tiramisu torta 400g,2.99,0,1
834,Jablkový Koláč 450G,2.99,0,1
835,Punčové guľky 360g,2.99,0,1
836,Dobošové rezy 400g,6.49,0,1
837,Šamrole 230g,4.55,0,1
838,Dr. Oetker Krtkova torta 435 g,3.69,0,1
