name,price,approximation,market_ID
Šiška s marhuľovou náplňou 70g,0.69 €,0,1
Čokoládová rolka 58g.,0.49 €,0,1
Taštička tvaroh - marhuľa 85g,0.59 €,0,1
MARHUĽ.TAŠTIČKA LA LORRA. 85G,0.59 €,0,1
Zákusok puding a ríbezle 85g,0.75 €,0,1
Hrebeň so slivkovým lekvárom 85g,0.65 €,0,1
Hrebeň mak - med 68g,0.59 €,0,1
Mriežka krémová s granátovým jablkom 85g,0.79 €,0,1
Koláč mix 75g,0.79 €,0,1
BILLA Závin s orechovou náplňou 400g,2.69 €,0,1
BILLA Závin tvarohový 200g,1.79 €,0,1
BILLA Závin s tvarohovou náplňou 400g,2.69 €,0,1
BILLA Závin s kakaovou náplňou 400g,2.69 €,0,1
BILLA Premium Závin s makovou náplňou 300g,2.29 €,0,1
BILLA Premium Závin s orechovou náplňou 300g,2.29 €,0,1
BILLA Premium Bratislavský Rožok Makový 200g,2.45 €,0,1
BILLA Premium Bratislavský Rožok Orechový 200g,2.45 €,0,1
Ölz Závin s makovou náplňou 350 g,2.95 €,0,1
TEKOVSKÝ SYR Delakto roztierateľný tavený syr 100 g,1.89 €,0,1
BILLA Mlieko čerstvé 36% 1L,0.99 €,0,1
Clever Polotučné mlieko čerstvé 15% 1L,0.95 €,0,1
Rajo Mlieko plnotučné 35% 1 l,1.65 €,0,1
Rajo Mlieko polotučné 15% 1 l,1.55 €,0,1
Tami Tatranské mlieko plnotučné vysokopasterizované 1 l,0.99 €,0,1
Tami Tatranské horské bio plnotučné mlieko 1 l,1.75 €,0,1
Tami Tatranské horské bio polotučné mlieko 1 l,1.59 €,0,1
Rajo Mlieko polotučné 15% 1 l,1.45 €,0,1
Rajo Mlieko nízkotučné 05% 1 l,1.19 €,0,1
Clever Trvanlivé plnotučné mlieko 35% 1L,0.95 €,0,1
Clever Trvanlivé polotučné mlieko 15% 1l,0.69 €,0,1
Tami Tatranské mlieko plnotučné 1 l,1.39 €,0,1
Rajo Mliekoplus trvanlivé plnotučné mlieko s vápnikom 1 l,1.89 €,0,1
Rajo Mlieko Plus Trvanlivé polotučné mlieko s vápnikom 1 l,1.69 €,0,1
Rajo Barista mlieko 35% tuku 1 l,1.79 €,0,1
Tami Barista latte trvanlivé plnotučné mlieko s vysokým obsahom bielkovín 1 l,1.49 €,0,1
Rajo Active Protein Mlieko polotučné 15% 1 l,2.09 €,0,1
Free Mlieko bezlaktózové 35% 1L (lactose free),1.65 €,0,1
Free Mlieko bezlaktózové 15% 1L (lactose free),1.45 €,0,1
Rajo Lakto Free Mlieko polotučné 15% 1 l,1.99 €,0,1
Rajo Lakto Free Mlieko plnotučné 35% 1 l,2.19 €,0,1
Zott Pure Joy Barista nápoj z fermentovaného ovsa 1 l,2.79 €,0,1
Lactel Konzumné trvanlivé kozie mlieko polotučné 1 l,3.19 €,0,1
Croissant Grana s vanilkovou a kakaovou náplňou 60g,0.65 €,0,1
Bauli Kváskový croissant s marhuľovou náplňou 50 g,0.75 €,0,1
Bauli Croissant čokoládový 6x50g 300g,3.29 €,0,1
Bauli Croissant vanilkový 6x50g 300g,3.29 €,0,1
Dijo Tortilla grilovaná 250 g,1.85 €,0,1
Dijo Tortilla viaczrnná 250 g,2.49 €,0,1
Strúhanka 500g,2.19 €,0,1
BILLA Kukurična struhanka 200g,1.29 €,0,1
Strúhanka vitaflóra paniero 750g,1.15 €,0,1
BILLA Oravská slanina 200g,3.29 €,0,1
BILLA Anglická slanina 200g,3.29 €,0,1
Oravská slanina 200 g,2.29 €,0,1
Anglická slanina špeciál 200 g,2.79 €,0,1
Clever Anglická slanina 100g,1.29 €,0,1
Billa Slaninové Kocky 250G,2.29 €,0,1
Tauris Zipser párky originál 500 g,8.25 €,0,1
Tauris Zipser párky 165g,3.25 €,0,1
Billa Spišské Párky 250G,2.59 €,0,1
Mäsokombinát Púchov Matelkové párky 250g,2.99 €,0,1
Berto Poctivé párky 180 g,2.49 €,0,1
Berto Podracké viršle 270 g,2.49 €,0,1
DEBRECÍNSKE PÁRKY 360G GREISINGER,4.99 €,0,1
Bilbo Viedenské párky pre deti 0300 kg,3.35 €,0,1
Kostelecké Uzeniny Poctivý viedenský párok pre deti 0180 kg,3.69 €,0,1
Berger Frankfurtské párky 3 x 375g,4.99 €,0,1
Pick Frankfurtské párky 180g,2.49 €,0,1
Greisinger Mini Berner Würstel mini bravčové párky so syrom obalené v plátkoch slaniny 0250 kg,3.69 €,0,1
